log_id,timestamp,level,service,error_type,message,response_time_ms,response_time_anomaly,error_event,anomaly
3,2026-06-19 13:04:09,ERROR,Database,PermissionError,Permission denied,82.66,False,True,True
10,2026-05-01 02:10:45,CRITICAL,Storage,ConnectionError,Connection to service failed,24.19,False,True,True
12,2026-02-06 21:10:40,ERROR,Authentication,ConnectionError,Connection to service failed,532.99,False,True,True
18,2026-02-28 10:41:57,CRITICAL,Database,PermissionError,Permission denied,1098.14,False,True,True
47,2026-08-08 00:34:09,CRITICAL,API,MemoryError,Memory usage exceeded threshold,692.07,False,True,True
56,2026-04-24 16:27:05,ERROR,Authentication,TimeoutError,Request timed out,764.1,False,True,True
64,2026-06-19 04:01:58,ERROR,Payment,NullPointerError,Null object encountered,1476.76,False,True,True
68,2026-04-16 15:16:02,ERROR,Search,TimeoutError,Request timed out,72.62,False,True,True
90,2026-07-25 18:30:11,ERROR,API,NullPointerError,Null object encountered,1172.92,False,True,True
91,2026-05-25 15:46:16,ERROR,Search,ConnectionError,Connection to service failed,524.47,False,True,True
94,2026-07-04 08:42:43,ERROR,Payment,NullPointerError,Null object encountered,573.78,False,True,True
98,2026-06-01 21:49:14,ERROR,Storage,TimeoutError,Request timed out,1109.86,False,True,True
103,2026-04-26 03:55:01,ERROR,Database,TimeoutError,Request timed out,758.98,False,True,True
107,2026-08-28 22:18:26,ERROR,Payment,FileNotFoundError,Required file was not found,191.47,False,True,True
112,2026-03-11 18:43:35,ERROR,Database,ConnectionError,Connection to service failed,940.03,False,True,True
116,2026-02-20 14:29:45,ERROR,Storage,TimeoutError,Request timed out,296.56,False,True,True
117,2026-08-02 12:58:31,ERROR,API,FileNotFoundError,Required file was not found,740.05,False,True,True
120,2026-08-03 18:26:23,ERROR,Search,MemoryError,Memory usage exceeded threshold,743.01,False,True,True
130,2026-04-21 13:44:26,ERROR,Storage,MemoryError,Memory usage exceeded threshold,406.27,False,True,True
131,2026-03-14 06:00:45,ERROR,Authentication,MemoryError,Memory usage exceeded threshold,311.45,False,True,True
133,2026-04-02 21:23:16,ERROR,Authentication,FileNotFoundError,Required file was not found,653.18,False,True,True
134,2026-01-09 21:10:57,ERROR,Database,NullPointerError,Null object encountered,515.3,False,True,True
136,2026-02-02 01:54:43,ERROR,Payment,FileNotFoundError,Required file was not found,909.45,False,True,True
146,2026-05-25 09:43:28,ERROR,API,NullPointerError,Null object encountered,1472.58,False,True,True
153,2026-04-19 03:59:25,ERROR,Authentication,FileNotFoundError,Required file was not found,1375.5,False,True,True
158,2026-05-06 23:02:08,ERROR,Search,FileNotFoundError,Required file was not found,74.09,False,True,True
163,2026-03-01 16:00:30,ERROR,Authentication,NullPointerError,Null object encountered,232.89,False,True,True
167,2026-03-28 10:55:35,ERROR,API,ConnectionError,Connection to service failed,383.67,False,True,True
170,2026-08-06 15:43:27,ERROR,Payment,TimeoutError,Request timed out,1250.57,False,True,True
184,2026-07-19 06:08:49,ERROR,Storage,NullPointerError,Null object encountered,857.38,False,True,True
185,2026-06-05 06:19:49,ERROR,Search,FileNotFoundError,Required file was not found,161.95,False,True,True
190,2026-04-16 08:48:27,ERROR,API,ConnectionError,Connection to service failed,33.21,False,True,True
194,2026-08-19 18:10:09,CRITICAL,API,ConnectionError,Connection to service failed,130.82,False,True,True
196,2026-08-11 05:30:18,ERROR,API,TimeoutError,Request timed out,664.05,False,True,True
197,2026-03-14 19:26:01,ERROR,Storage,FileNotFoundError,Required file was not found,417.47,False,True,True
201,2026-04-01 20:39:21,ERROR,API,NullPointerError,Null object encountered,835.58,False,True,True
202,2026-06-17 16:39:32,ERROR,API,ConnectionError,Connection to service failed,1184.55,False,True,True
203,2026-08-01 11:46:39,ERROR,Storage,MemoryError,Memory usage exceeded threshold,1377.77,False,True,True
206,2026-05-12 23:11:36,ERROR,Payment,MemoryError,Memory usage exceeded threshold,1363.52,False,True,True
208,2026-06-15 07:59:32,ERROR,Search,FileNotFoundError,Required file was not found,1007.45,False,True,True
212,2026-01-12 00:38:48,ERROR,Storage,PermissionError,Permission denied,632.92,False,True,True
213,2026-06-04 19:33:18,CRITICAL,API,ConnectionError,Connection to service failed,72.09,False,True,True
217,2026-02-19 06:34:59,ERROR,Search,FileNotFoundError,Required file was not found,388.76,False,True,True
234,2026-03-02 00:12:29,CRITICAL,Search,MemoryError,Memory usage exceeded threshold,192.92,False,True,True
236,2026-03-18 02:18:26,ERROR,Database,NullPointerError,Null object encountered,1120.03,False,True,True
237,2026-08-21 01:48:41,ERROR,Payment,TimeoutError,Request timed out,835.26,False,True,True
238,2026-02-10 02:47:03,ERROR,Payment,NullPointerError,Null object encountered,1055.63,False,True,True
244,2026-08-21 18:26:43,ERROR,API,NullPointerError,Null object encountered,349.31,False,True,True
