service,error_type,occurrences
API,ConnectionError,19
Payment,PermissionError,13
Search,ConnectionError,12
Storage,PermissionError,12
Storage,MemoryError,10
Payment,ConnectionError,10
Payment,TimeoutError,10
Authentication,FileNotFoundError,10
Search,FileNotFoundError,10
Search,NullPointerError,10
API,NullPointerError,9
Authentication,NullPointerError,9
Authentication,TimeoutError,9
API,TimeoutError,9
Database,ConnectionError,8
Payment,NullPointerError,7
Storage,TimeoutError,7
Database,MemoryError,7
Database,FileNotFoundError,7
API,MemoryError,6
Payment,FileNotFoundError,6
Storage,NullPointerError,6
Storage,ConnectionError,6
Search,TimeoutError,6
Database,NullPointerError,6
Authentication,PermissionError,6
Payment,MemoryError,5
Authentication,ConnectionError,5
Authentication,MemoryError,5
Database,PermissionError,5
Database,TimeoutError,4
API,PermissionError,4
Search,MemoryError,4
API,FileNotFoundError,3
Storage,FileNotFoundError,3
Search,PermissionError,3
